CVEGEO,homi_count,POBTOT,P_18YMAS,P18YM_PB,GRAPROES,VIVPAR_HAB,VPH_PISODT,PROM_OCUP,VPH_TV,VPH_AUTOM,VPH_PC,VPH_INTER,INDICE_GLOBAL,NSE_num,NSE_char
0900200010010,3.0,3424.0,2650.0,1517.0,10.67,815.0,797.0,4.05,805.0,466.0,447.0,346.0,0.567699976965566,6.0,C+
0900200010025,12.0,5912.0,4426.0,2096.0,9.79,1565.0,1556.0,3.72,1558.0,532.0,712.0,523.0,0.483405218691078,5.0,C
090020001003A,1.0,4638.0,3418.0,1545.0,9.56,1124.0,1085.0,3.97,1117.0,436.0,525.0,395.0,0.485915154398029,5.0,C
0900200010044,3.0,5007.0,3708.0,1917.0,10.24,1270.0,1253.0,3.77,1261.0,493.0,603.0,454.0,0.50990525340806,5.0,C
0900200010097,1.0,2260.0,1756.0,954.0,10.5,558.0,553.0,3.95,556.0,282.0,309.0,259.0,0.567409771007471,6.0,C+
090020001010A,0.0,3385.0,2499.0,1401.0,10.83,798.0,790.0,3.99,790.0,416.0,455.0,364.0,0.574784601037861,6.0,C+
0900200010114,4.0,10265.0,7158.0,3523.0,9.85,2853.0,2779.0,3.54,2792.0,887.0,1207.0,831.0,0.464954836548384,4.0,C-
0900200010129,2.0,5005.0,3442.0,2067.0,10.9,1367.0,1324.0,3.52,1327.0,603.0,699.0,506.0,0.534911436129744,5.0,C
0900200010133,1.0,7028.0,5021.0,2423.0,9.92,1830.0,1809.0,3.78,1797.0,692.0,814.0,590.0,0.48311793770035,5.0,C
0900200010148,0.0,2645.0,1901.0,1404.0,12.63,665.0,644.0,3.66,655.0,531.0,479.0,416.0,0.695878868171214,7.0,A/B
0900200010167,1.0,3169.0,2322.0,1219.0,10.2,895.0,892.0,3.5,884.0,363.0,368.0,271.0,0.488577566573753,5.0,C
0900200010171,0.0,2466.0,1857.0,1094.0,10.81,649.0,641.0,3.67,642.0,313.0,371.0,279.0,0.565840522875092,6.0,C+
0900200010186,0.0,7474.0,5418.0,3217.0,10.93,2024.0,1991.0,3.66,2001.0,1036.0,1103.0,827.0,0.556859674056382,5.0,C
0900200010190,6.0,7548.0,5508.0,2899.0,10.28,2107.0,2069.0,3.52,2074.0,787.0,979.0,715.0,0.496123988635185,5.0,C
0900200010203,3.0,6107.0,4420.0,2041.0,9.85,1622.0,1592.0,3.71,1607.0,599.0,662.0,475.0,0.468654560298501,4.0,C-
0900200010218,1.0,3970.0,2951.0,1597.0,10.57,1183.0,1165.0,3.34,1170.0,480.0,570.0,427.0,0.51319424211711,5.0,C
0900200010222,2.0,6901.0,4944.0,2698.0,10.32,1882.0,1865.0,3.63,1856.0,768.0,974.0,751.0,0.523396751742488,5.0,C
0900200010237,6.0,6355.0,4502.0,2158.0,10.02,1636.0,1619.0,3.82,1607.0,665.0,741.0,577.0,0.494541396267425,5.0,C
0900200010256,1.0,4438.0,3180.0,1692.0,10.34,1130.0,1117.0,3.83,1127.0,500.0,538.0,405.0,0.516052935680654,5.0,C
0900200010260,3.0,5150.0,3703.0,2095.0,10.64,1143.0,1114.0,4.29,1127.0,528.0,637.0,506.0,0.555224586952396,5.0,C
0900200010275,2.0,7839.0,5524.0,2461.0,9.68,1732.0,1637.0,4.45,1715.0,774.0,858.0,654.0,0.503495630771872,5.0,C
090020001028A,1.0,3257.0,2561.0,1728.0,11.67,921.0,880.0,3.47,916.0,541.0,586.0,479.0,0.618561334029824,6.0,C+
0900200010294,1.0,5385.0,3903.0,2264.0,10.79,1510.0,1483.0,3.47,1480.0,639.0,760.0,561.0,0.529022111172431,5.0,C
0900200010307,1.0,6178.0,4412.0,2255.0,10.17,1546.0,1507.0,3.92,1521.0,581.0,737.0,559.0,0.501742895550524,5.0,C
0900200010311,5.0,3466.0,2609.0,1521.0,10.68,954.0,949.0,3.52,945.0,375.0,457.0,359.0,0.521181975914593,5.0,C
0900200010326,0.0,7255.0,5335.0,3442.0,11.39,2249.0,2152.0,3.2,2225.0,1085.0,1384.0,1086.0,0.575275029173777,6.0,C+
0900200010330,0.0,2442.0,1777.0,840.0,9.82,644.0,639.0,3.77,639.0,240.0,280.0,206.0,0.480624935507167,4.0,C-
0900200010345,2.0,3821.0,2859.0,1501.0,10.26,987.0,972.0,3.62,970.0,397.0,484.0,383.0,0.511539822063987,5.0,C
090020001035A,1.0,4788.0,3439.0,1891.0,10.69,1300.0,1282.0,3.67,1286.0,627.0,732.0,566.0,0.55007190704759,5.0,C
0900200010364,2.0,3744.0,2761.0,1209.0,9.96,988.0,973.0,3.72,978.0,384.0,436.0,308.0,0.478777093747829,4.0,C-
0900200010379,2.0,5070.0,3710.0,2065.0,10.52,1360.0,1351.0,3.6,1337.0,525.0,633.0,459.0,0.507937467657471,5.0,C
0900200010383,1.0,4267.0,3048.0,1413.0,10.43,1132.0,1118.0,3.57,1111.0,486.0,565.0,446.0,0.511904436291879,5.0,C
0900200010398,2.0,4103.0,3072.0,1706.0,10.72,1204.0,1201.0,3.31,1184.0,480.0,579.0,447.0,0.517716984399329,5.0,C
0900200010400,4.0,4042.0,3041.0,1751.0,10.89,1178.0,1160.0,3.33,1155.0,504.0,599.0,471.0,0.532502393358813,5.0,C
0900200010415,3.0,4280.0,3241.0,2069.0,11.42,1249.0,1240.0,3.34,1231.0,580.0,644.0,538.0,0.559190523555805,6.0,C+
0900200010434,3.0,3071.0,2346.0,1646.0,12.14,859.0,850.0,3.29,848.0,592.0,540.0,435.0,0.63711486430617,6.0,C+
0900200010449,1.0,2959.0,2286.0,1427.0,11.42,768.0,751.0,3.8,761.0,511.0,448.0,370.0,0.608993395562397,6.0,C+
0900200010468,2.0,3316.0,2452.0,1531.0,11.17,960.0,951.0,3.32,940.0,413.0,548.0,415.0,0.557523011106856,5.0,C
0900200010472,0.0,6395.0,4764.0,3471.0,12.44,2021.0,1992.0,3.08,1994.0,1254.0,1371.0,1163.0,0.646466915067566,6.0,C+
0900200010487,0.0,3921.0,2919.0,1602.0,10.72,1099.0,1081.0,3.47,1069.0,450.0,519.0,395.0,0.514733046914167,5.0,C
0900200010491,2.0,6048.0,4613.0,2745.0,11.13,1771.0,1697.0,3.37,1747.0,983.0,1060.0,912.0,0.585119306292862,6.0,C+
0900200010504,1.0,4623.0,3592.0,2455.0,12.01,1343.0,1323.0,3.37,1324.0,780.0,841.0,719.0,0.622281840957658,6.0,C+
0900200010519,1.0,2513.0,1925.0,1216.0,11.57,756.0,752.0,3.2,748.0,408.0,423.0,358.0,0.58260369538565,6.0,C+
0900200010542,0.0,3013.0,2253.0,1245.0,10.66,818.0,814.0,3.61,805.0,350.0,388.0,311.0,0.521696786317144,5.0,C
0900200010557,2.0,4698.0,3538.0,1988.0,10.75,1366.0,1350.0,3.41,1339.0,547.0,646.0,512.0,0.516574380009014,5.0,C
0900200010561,1.0,3187.0,2354.0,1273.0,10.59,901.0,893.0,3.49,878.0,339.0,388.0,286.0,0.495090418266163,5.0,C
0900200010576,3.0,3243.0,2393.0,1253.0,10.43,848.0,837.0,3.77,839.0,316.0,361.0,269.0,0.490442801025619,5.0,C
0900200010580,1.0,4210.0,3074.0,1557.0,10.42,1134.0,1127.0,3.65,1122.0,375.0,464.0,339.0,0.477135530926555,4.0,C-
0900200010595,3.0,4637.0,3264.0,1438.0,9.64,1217.0,1175.0,3.8,1191.0,478.0,495.0,373.0,0.464951072220611,4.0,C-
0900200010608,0.0,5002.0,3410.0,1485.0,9.4,1300.0,1279.0,3.82,1273.0,440.0,461.0,334.0,0.441996324903795,4.0,C-
0900200010612,3.0,4351.0,3069.0,1295.0,9.37,1185.0,1162.0,3.66,1159.0,364.0,384.0,254.0,0.423373747411646,3.0,D+
0900200010627,0.0,5097.0,3597.0,1412.0,9.06,1439.0,1421.0,3.53,1408.0,418.0,526.0,361.0,0.423576353257278,3.0,D+
0900200010631,0.0,5242.0,3791.0,2212.0,10.98,1341.0,1336.0,3.75,1322.0,774.0,720.0,561.0,0.571233737879007,6.0,C+
0900200010650,5.0,6888.0,4905.0,2243.0,9.72,1691.0,1670.0,3.97,1673.0,614.0,727.0,542.0,0.474711602870595,4.0,C-
0900200010665,1.0,7698.0,5599.0,2801.0,10.09,2100.0,2046.0,3.6,2062.0,796.0,966.0,726.0,0.491711579833629,5.0,C
090020001067A,2.0,6274.0,4598.0,3198.0,11.93,1788.0,1775.0,3.34,1774.0,1025.0,1144.0,964.0,0.622549662525052,6.0,C+
0900200010684,2.0,4562.0,3549.0,2580.0,12.33,1416.0,1390.0,3.15,1397.0,821.0,902.0,795.0,0.6338432367996,6.0,C+
0900200010699,0.0,2648.0,2112.0,1710.0,13.39,812.0,795.0,3.16,795.0,598.0,593.0,530.0,0.705564263790541,7.0,A/B
0900200010701,0.0,2518.0,2013.0,1639.0,13.44,801.0,782.0,3.06,786.0,573.0,594.0,526.0,0.706940336549013,7.0,A/B
0900200010716,4.0,4245.0,3209.0,2039.0,11.45,1217.0,1191.0,3.37,1192.0,657.0,728.0,584.0,0.585050673637005,6.0,C+
0900200010720,0.0,3099.0,2479.0,2061.0,13.46,940.0,913.0,3.18,933.0,702.0,691.0,633.0,0.719358223228282,7.0,A/B
090020001074A,2.0,3144.0,2411.0,1532.0,11.35,957.0,947.0,3.24,941.0,427.0,502.0,384.0,0.552548914454132,5.0,C
0900200010754,3.0,2543.0,1898.0,1136.0,11.12,713.0,707.0,3.48,699.0,331.0,373.0,266.0,0.545011548664483,5.0,C
0900200010769,6.0,5172.0,3866.0,1730.0,10.18,1467.0,1432.0,3.5,1442.0,541.0,620.0,471.0,0.474953488823213,4.0,C-
0900200010773,0.0,2718.0,2040.0,961.0,10.06,758.0,750.0,3.55,746.0,270.0,320.0,250.0,0.478427523255669,4.0,C-
0900200010788,1.0,2651.0,2027.0,1040.0,10.67,733.0,727.0,3.49,723.0,330.0,387.0,289.0,0.529398755453521,5.0,C
0900200010792,1.0,4901.0,3648.0,2186.0,10.99,1368.0,1318.0,3.36,1351.0,634.0,750.0,612.0,0.553803403551072,5.0,C
0900200010805,0.0,2021.0,1614.0,1193.0,12.57,634.0,624.0,3.11,625.0,404.0,429.0,371.0,0.655757850891494,6.0,C+
090020001081A,1.0,3260.0,2462.0,1740.0,12.27,1002.0,993.0,3.09,991.0,531.0,635.0,517.0,0.616936898451669,6.0,C+
0900200010824,1.0,2737.0,2100.0,1225.0,11.05,805.0,781.0,3.4,796.0,344.0,406.0,340.0,0.537912269026604,5.0,C
0900200010839,1.0,3160.0,2505.0,1993.0,13.24,971.0,942.0,3.14,958.0,647.0,666.0,610.0,0.680997938290159,6.0,C+
0900200010843,0.0,3796.0,2975.0,2212.0,12.55,1137.0,1100.0,3.2,1121.0,716.0,792.0,680.0,0.660125186861302,6.0,C+
0900200010858,1.0,4493.0,3367.0,1950.0,10.68,1268.0,1166.0,3.46,1239.0,527.0,637.0,572.0,0.526915017508277,5.0,C
0900200010877,3.0,804.0,580.0,183.0,9.1,222.0,218.0,3.62,220.0,62.0,75.0,46.0,0.401551457402994,3.0,D+
0900200010881,5.0,5625.0,3899.0,1629.0,9.35,1442.0,1422.0,3.82,1424.0,456.0,559.0,436.0,0.448718057839227,4.0,C-
0900200010896,0.0,1768.0,1400.0,1e3,12.14,586.0,573.0,2.95,578.0,303.0,332.0,268.0,0.60120113179096,6.0,C+
0900200010909,0.0,1855.0,1457.0,1053.0,12.24,639.0,625.0,2.84,633.0,338.0,403.0,339.0,0.623543272696166,6.0,C+
0900200010913,0.0,3631.0,2786.0,1593.0,10.57,973.0,960.0,3.71,965.0,396.0,527.0,402.0,0.540810993401221,5.0,C
0900200010928,1.0,995.0,675.0,285.0,9.23,267.0,261.0,3.72,259.0,77.0,90.0,65.0,0.423017187162663,3.0,D+
0900200010932,2.0,380.0,292.0,181.0,10.9,110.0,109.0,3.37,106.0,45.0,57.0,43.0,0.536345677501608,5.0,C
0900200010947,2.0,5093.0,3817.0,1999.0,10.34,1303.0,1284.0,3.84,1288.0,538.0,699.0,505.0,0.523079667332921,5.0,C
0900200010966,0.0,2133.0,1689.0,1332.0,13.12,563.0,548.0,3.59,559.0,491.0,439.0,384.0,0.738426005978169,7.0,A/B
0900200010970,1.0,3027.0,2164.0,1519.0,12.32,785.0,767.0,3.69,785.0,511.0,558.0,470.0,0.661512053983728,6.0,C+
0900200010985,0.0,2475.0,1894.0,1237.0,11.38,656.0,648.0,3.62,651.0,348.0,412.0,322.0,0.60732251295558,6.0,C+
090020001099A,0.0,1259.0,888.0,609.0,10.57,369.0,355.0,3.29,365.0,224.0,222.0,182.0,0.598209259828323,6.0,C+
0900200011004,3.0,6765.0,4751.0,2747.0,10.77,1854.0,1830.0,3.59,1828.0,807.0,962.0,672.0,0.529304640930649,5.0,C
0900200011019,0.0,1649.0,1191.0,713.0,10.86,444.0,435.0,3.61,440.0,223.0,253.0,192.0,0.561504085175998,6.0,C+
0900200011023,0.0,5099.0,3775.0,2238.0,10.93,1405.0,1353.0,3.57,1395.0,673.0,798.0,636.0,0.559104585264184,6.0,C+
0900200011038,1.0,7376.0,5106.0,2493.0,10.02,2015.0,1968.0,3.65,1975.0,786.0,879.0,648.0,0.483182161899293,5.0,C
0900200011042,2.0,6282.0,4384.0,1891.0,9.56,1668.0,1649.0,3.71,1642.0,604.0,670.0,491.0,0.460344532220116,4.0,C-
0900200011057,0.0,2835.0,2270.0,1880.0,13.45,902.0,891.0,3.03,895.0,676.0,674.0,599.0,0.717745184753332,7.0,A/B
0900200011061,0.0,1814.0,1432.0,906.0,11.33,629.0,612.0,2.78,623.0,265.0,293.0,238.0,0.530715052597196,5.0,C
0900200011076,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358872007071284,2.0,D
0900200011080,0.0,3211.0,2094.0,1569.0,12.47,889.0,860.0,3.48,885.0,700.0,684.0,577.0,0.696637054642789,7.0,A/B
0900200011095,1.0,6809.0,4687.0,2862.0,11.23,1875.0,1847.0,3.48,1854.0,1041.0,1111.0,899.0,0.584256870018537,6.0,C+
0900200011112,0.0,4415.0,3306.0,2225.0,11.3,1208.0,1168.0,3.63,1197.0,609.0,783.0,646.0,0.601353286894152,6.0,C+
0900200011127,1.0,3085.0,2318.0,1524.0,11.28,852.0,803.0,3.59,842.0,440.0,519.0,416.0,0.585081712700815,6.0,C+
0900200011131,0.0,2880.0,2218.0,1607.0,12.0,867.0,845.0,3.15,864.0,437.0,545.0,423.0,0.610169018893144,6.0,C+
0900200011146,0.0,1083.0,808.0,613.0,12.35,344.0,339.0,2.94,341.0,180.0,228.0,190.0,0.637426190608521,6.0,C+
0900200011150,1.0,1633.0,1154.0,517.0,9.72,408.0,405.0,4.0,405.0,170.0,176.0,101.0,0.470443456109001,4.0,C-
0900200011165,6.0,401.0,265.0,82.0,8.38,110.0,102.0,3.65,108.0,27.0,30.0,13.0,0.361123099459743,2.0,D
090020001117A,0.0,1714.0,1309.0,932.0,12.23,506.0,492.0,3.27,506.0,352.0,366.0,315.0,0.668869374356774,6.0,C+
0900200011184,1.0,1477.0,1098.0,783.0,11.82,419.0,410.0,3.32,413.0,259.0,287.0,239.0,0.644888336263442,6.0,C+
0900300010018,1.0,1622.0,1230.0,1054.0,14.26,504.0,435.0,2.89,493.0,418.0,410.0,395.0,0.752207536844434,7.0,A/B
0900300010022,0.0,1655.0,1373.0,1123.0,14.03,539.0,530.0,3.05,515.0,416.0,425.0,394.0,0.742578601813777,7.0,A/B
0900300010037,1.0,1329.0,1104.0,922.0,14.07,430.0,418.0,2.93,422.0,331.0,351.0,318.0,0.748513665990051,7.0,A/B
0900300010041,0.0,3756.0,2809.0,2320.0,13.68,1164.0,1136.0,2.86,1143.0,878.0,916.0,844.0,0.73231210536719,7.0,A/B
0900300010056,0.0,4008.0,2967.0,2341.0,13.41,1197.0,1179.0,3.03,1175.0,894.0,957.0,858.0,0.722940505038229,7.0,A/B
0900300010060,2.0,3852.0,2717.0,1912.0,12.42,986.0,941.0,3.37,963.0,621.0,656.0,573.0,0.646432907009719,6.0,C+
0900300010075,0.0,2965.0,2061.0,1686.0,13.52,828.0,797.0,3.01,817.0,631.0,647.0,575.0,0.724765306247075,7.0,A/B
090030001008A,0.0,2262.0,1888.0,1622.0,13.91,684.0,662.0,3.23,679.0,635.0,594.0,571.0,0.802728575011841,7.0,A/B
0900300010094,1.0,3411.0,2753.0,2293.0,13.66,1057.0,1027.0,3.04,1046.0,842.0,812.0,736.0,0.735788142975087,7.0,A/B
0900300010107,0.0,7058.0,5257.0,3929.0,12.71,2072.0,1999.0,3.14,2040.0,1423.0,1454.0,1279.0,0.674497402529983,6.0,C+
0900300010111,0.0,1383.0,1089.0,772.0,12.79,329.0,318.0,3.32,326.0,275.0,273.0,260.0,0.746813543602344,7.0,A/B
0900300010126,0.0,1822.0,1390.0,1102.0,13.5,499.0,457.0,3.31,489.0,417.0,411.0,390.0,0.749177418087185,7.0,A/B
0900300010130,2.0,2645.0,2093.0,1600.0,13.32,714.0,699.0,3.22,691.0,521.0,553.0,502.0,0.715217977494388,7.0,A/B
0900300010145,0.0,2385.0,1731.0,1424.0,13.8,696.0,681.0,2.94,674.0,518.0,563.0,537.0,0.74191036835050606,7.0,A/B
090030001015A,0.0,5125.0,3829.0,3038.0,13.37,1587.0,1547.0,2.96,1543.0,1161.0,1216.0,1098.0,0.711747253142342,7.0,A/B
0900300010164,2.0,2850.0,2196.0,1774.0,13.72,915.0,906.0,2.9,901.0,667.0,698.0,625.0,0.71213785830697,7.0,A/B
0900300010179,0.0,2085.0,1663.0,1421.0,13.95,659.0,636.0,2.95,654.0,609.0,589.0,565.0,0.799686367166025,7.0,A/B
0900300010183,2.0,3205.0,2346.0,1964.0,13.63,935.0,915.0,3.0,922.0,783.0,761.0,725.0,0.757427275466042,7.0,A/B
0900300010198,1.0,1615.0,1304.0,1042.0,13.19,471.0,466.0,3.3,458.0,389.0,364.0,331.0,0.739165824177105,7.0,A/B
0900300010200,0.0,5729.0,4337.0,3529.0,13.44,1815.0,1743.0,3.04,1778.0,1527.0,1456.0,1363.0,0.742085019772616,7.0,A/B
0900300010215,2.0,6275.0,4476.0,3843.0,14.06,1971.0,1916.0,2.93,1957.0,1763.0,1666.0,1535.0,0.772372808101617,7.0,A/B
090030001022A,3.0,8197.0,5706.0,2960.0,10.23,2162.0,2100.0,3.67,2136.0,1048.0,1074.0,862.0,0.522455598731247,5.0,C
0900300010234,0.0,729.0,543.0,475.0,14.77,204.0,204.0,3.09,201.0,178.0,178.0,169.0,0.80278445137869,7.0,A/B
0900300010249,1.0,783.0,629.0,542.0,14.25,247.0,245.0,3.0,242.0,180.0,199.0,186.0,0.757990151195474,7.0,A/B
0900300010268,0.0,1442.0,1117.0,930.0,13.51,422.0,411.0,2.91,411.0,295.0,315.0,285.0,0.712672060941635,7.0,A/B
0900300010272,1.0,3468.0,2656.0,2236.0,14.18,999.0,968.0,3.07,981.0,836.0,815.0,767.0,0.766978165506645,7.0,A/B
0900300010287,0.0,8323.0,6171.0,4075.0,12.04,2408.0,2370.0,3.3,2365.0,1470.0,1560.0,1401.0,0.632748015322557,6.0,C+
0900300010291,1.0,4092.0,2929.0,2132.0,12.72,1203.0,1152.0,3.09,1183.0,820.0,838.0,764.0,0.665028828972157,6.0,C+
0900300010304,2.0,1606.0,1185.0,899.0,13.13,454.0,437.0,3.17,449.0,312.0,316.0,288.0,0.678833108151747,6.0,C+
0900300010319,3.0,2718.0,1878.0,1608.0,13.78,769.0,762.0,2.97,761.0,573.0,620.0,560.0,0.73988253200249,7.0,A/B
0900300010323,0.0,3135.0,2330.0,1935.0,13.38,918.0,910.0,3.08,908.0,622.0,664.0,595.0,0.701236329554285,7.0,A/B
0900300010342,0.0,3548.0,2823.0,2353.0,13.74,1024.0,1020.0,3.3,1016.0,878.0,809.0,738.0,0.755821963331394,7.0,A/B
0900300010357,2.0,4860.0,3285.0,1378.0,9.26,1196.0,1183.0,3.95,1174.0,359.0,424.0,304.0,0.432311490740114,4.0,C-
0900300010361,0.0,2082.0,1672.0,1200.0,12.8,645.0,631.0,3.18,625.0,412.0,456.0,427.0,0.672218472790251,6.0,C+
0900300010376,0.0,1448.0,1195.0,1085.0,14.74,478.0,464.0,2.85,466.0,321.0,390.0,349.0,0.74412028073226,7.0,A/B
0900300010380,0.0,2397.0,1951.0,1765.0,14.82,895.0,873.0,2.5,874.0,643.0,730.0,654.0,0.748198248345437,7.0,A/B
0900300010395,0.0,2242.0,1863.0,1690.0,14.82,918.0,901.0,2.3,887.0,516.0,729.0,674.0,0.724356111607284,7.0,A/B
0900300010408,0.0,1692.0,1293.0,1186.0,14.97,584.0,575.0,2.53,563.0,391.0,497.0,472.0,0.761254376166281,7.0,A/B
0900300010412,0.0,3873.0,3093.0,2718.0,14.29,1261.0,1233.0,2.82,1232.0,846.0,1046.0,950.0,0.744039294121199,7.0,A/B
0900300010427,0.0,2145.0,1724.0,1275.0,13.02,581.0,573.0,3.54,577.0,467.0,439.0,402.0,0.7258153533745,7.0,A/B
0900300010431,0.0,5145.0,3751.0,2066.0,10.8,1335.0,1324.0,3.78,1316.0,699.0,734.0,615.0,0.562015575676431,6.0,C+
0900300010446,0.0,5081.0,3421.0,2462.0,12.66,1398.0,1372.0,3.31,1386.0,1014.0,1044.0,947.0,0.689814468796869,7.0,A/B
0900300010450,4.0,6611.0,4659.0,3347.0,12.5,1821.0,1770.0,3.3,1791.0,1183.0,1280.0,1133.0,0.6601340676132,6.0,C+
0900300010465,2.0,1527.0,1186.0,965.0,13.74,422.0,420.0,3.15,418.0,336.0,338.0,298.0,0.743002921854219,7.0,A/B
0900300010484,0.0,1099.0,835.0,699.0,13.79,298.0,295.0,3.3,294.0,238.0,226.0,207.0,0.740120249987989,7.0,A/B
0900300010499,1.0,2534.0,1961.0,1684.0,13.99,697.0,692.0,3.35,690.0,604.0,568.0,506.0,0.768195116481438,7.0,A/B
0900300010501,1.0,3331.0,2487.0,2031.0,13.54,882.0,841.0,3.44,869.0,735.0,685.0,621.0,0.741304648424274,7.0,A/B
0900300010516,0.0,1365.0,1062.0,768.0,12.59,364.0,363.0,3.61,356.0,273.0,264.0,224.0,0.688397291154161,6.0,C+
0900300010520,0.0,2643.0,1977.0,1290.0,11.61,665.0,652.0,3.86,652.0,421.0,371.0,293.0,0.60020437946254,6.0,C+
0900300010535,6.0,8789.0,5877.0,2368.0,9.31,2274.0,2229.0,3.78,2213.0,662.0,763.0,578.0,0.422919295760046,3.0,D+
090030001054A,0.0,1339.0,1162.0,1027.0,14.63,473.0,431.0,2.73,436.0,274.0,399.0,346.0,0.717901198027377,7.0,A/B
0900300010554,0.0,4849.0,3635.0,2246.0,11.29,1417.0,1401.0,3.4,1372.0,708.0,821.0,678.0,0.574487412547813,6.0,C+
0900300010573,2.0,12179.0,8671.0,4885.0,10.77,3528.0,3486.0,3.42,3463.0,1693.0,1873.0,1559.0,0.545821311917722,5.0,C
0900300010588,0.0,1840.0,1384.0,1093.0,13.06,460.0,435.0,3.83,452.0,372.0,349.0,312.0,0.719216513492608,7.0,A/B
0900300010605,3.0,4041.0,2580.0,847.0,8.62,1011.0,1e3,3.92,980.0,251.0,273.0,191.0,0.382045577334406,3.0,D+
090030001061A,7.0,11031.0,7697.0,3410.0,9.57,2948.0,2885.0,3.7,2857.0,958.0,1209.0,919.0,0.457314651194117,4.0,C-
0900300010624,0.0,10248.0,6852.0,2885.0,9.36,2579.0,2518.0,3.91,2482.0,842.0,954.0,731.0,0.441279417796416,4.0,C-
0900300010639,0.0,12372.0,8363.0,3292.0,9.14,3170.0,3125.0,3.89,3076.0,975.0,1e3,751.0,0.41977239154998103,3.0,D+
0900300010643,3.0,9265.0,6477.0,2914.0,9.58,2413.0,2380.0,3.79,2356.0,898.0,933.0,687.0,0.458864342647314,4.0,C-
0900300010658,0.0,11535.0,8136.0,4019.0,9.96,3097.0,3074.0,3.64,3040.0,1245.0,1374.0,1018.0,0.488483011541589,5.0,C
0900300010662,2.0,5604.0,3959.0,1938.0,9.92,1492.0,1467.0,3.58,1466.0,584.0,625.0,495.0,0.48388185607184,5.0,C
0900300010677,0.0,7693.0,5333.0,3388.0,11.57,2081.0,2054.0,3.36,2040.0,1112.0,1220.0,1005.0,0.58835069841277,6.0,C+
0900300010681,0.0,3507.0,2454.0,1649.0,11.95,916.0,906.0,3.47,904.0,525.0,574.0,481.0,0.61709751500347,6.0,C+
0900300010696,0.0,1949.0,1596.0,1362.0,14.06,610.0,606.0,3.08,604.0,480.0,479.0,418.0,0.744029018682538,7.0,A/B
0900300010709,3.0,3311.0,2489.0,1755.0,12.31,955.0,948.0,3.29,944.0,632.0,666.0,581.0,0.66246025188921,6.0,C+
0900300010713,0.0,4664.0,3699.0,2985.0,13.38,1347.0,1320.0,3.33,1335.0,1083.0,986.0,882.0,0.722160693422904,7.0,A/B
0900300010728,2.0,4011.0,2997.0,2451.0,13.46,1113.0,1103.0,3.32,1107.0,860.0,840.0,736.0,0.723657150919032,7.0,A/B
0900300010770,1.0,280.0,241.0,206.0,14.1,106.0,104.0,2.6,103.0,78.0,80.0,74.0,0.722581096927115,7.0,A/B
0900300010785,1.0,11211.0,7722.0,3211.0,9.34,2861.0,2814.0,3.9,2769.0,871.0,1054.0,767.0,0.436606009826276,4.0,C-
090030001079A,1.0,8078.0,5515.0,2190.0,9.14,2032.0,2015.0,3.95,1980.0,635.0,727.0,537.0,0.433077849245411,4.0,C-
0900300010802,3.0,13380.0,8876.0,3508.0,9.17,3402.0,3368.0,3.87,3305.0,1071.0,1150.0,813.0,0.424955552510204,3.0,D+
0900300010817,1.0,9846.0,6965.0,3561.0,10.17,2591.0,2576.0,3.73,2538.0,1015.0,1163.0,885.0,0.49505193899311,5.0,C
0900300010821,0.0,5061.0,3544.0,1735.0,9.84,1375.0,1357.0,3.6,1348.0,525.0,570.0,417.0,0.476462446314673,4.0,C-
0900300010836,1.0,6285.0,4533.0,2331.0,10.17,1609.0,1598.0,3.87,1587.0,682.0,718.0,548.0,0.501062339922544,5.0,C
0900300010840,1.0,6039.0,4421.0,2442.0,10.58,1667.0,1654.0,3.56,1640.0,747.0,797.0,636.0,0.524585768761572,5.0,C
0900300010855,2.0,2774.0,2124.0,1435.0,11.92,776.0,770.0,3.42,767.0,434.0,472.0,397.0,0.611270396329408,6.0,C+
090030001086A,0.0,2705.0,2043.0,1563.0,12.77,762.0,761.0,3.26,758.0,559.0,520.0,430.0,0.679704782340791,6.0,C+
0900300010889,0.0,2633.0,2241.0,1931.0,14.3,842.0,807.0,3.1,836.0,753.0,697.0,639.0,0.780707842185408,7.0,A/B
0900300010893,0.0,1922.0,1594.0,1381.0,14.41,573.0,565.0,3.26,568.0,532.0,478.0,457.0,0.799263253323386,7.0,A/B
0900300010906,1.0,3409.0,2739.0,2296.0,13.31,1084.0,1036.0,3.11,1081.0,743.0,841.0,723.0,0.707732891051825,7.0,A/B
090030001093A,0.0,1313.0,1020.0,858.0,13.91,360.0,320.0,3.38,356.0,331.0,319.0,276.0,0.779556120693892,7.0,A/B
0900300010959,3.0,4568.0,3124.0,1168.0,9.01,1111.0,1097.0,4.01,1081.0,374.0,397.0,265.0,0.430888607462583,4.0,C-
0900300010963,3.0,6162.0,4438.0,2310.0,10.25,1678.0,1665.0,3.6,1641.0,695.0,788.0,631.0,0.509096733677955,5.0,C
0900300010978,2.0,8305.0,5797.0,2784.0,9.9,2180.0,2173.0,3.75,2125.0,889.0,927.0,654.0,0.481109719303484,4.0,C-
0900300010982,0.0,6450.0,4624.0,2379.0,10.24,1699.0,1683.0,3.74,1676.0,731.0,775.0,585.0,0.503996115062292,5.0,C
